"ID","Site","y","x.2","Obs","Geno","genoSuspect","GLS","Stg","STG2","H","W","FLN","FRN","INH","LFN","DLN","AvgPCD","type","TCO","date","notes"
"p101","SO.1.1","310","0","",1,"",101,"FS","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p102","SO.1.1","324","-17.7","",NA,"",NA,"X","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p103","SO.1.1","370","-42","",NA,"",NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p104","SO.1.1","360","-49","",NA,"",NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p105","SO.1.1","312","-58.5","",1,"",102,"FS","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p106","SO.1.1","334","-62","",NA,"",NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p107","SO.1.1","380","-39.6","",NA,"",NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p108","SO.1.1","391.4","-80","",1,"",105,"R","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p109","SO.1.1","331","-105","",1,"",NA,"FS","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p110","SO.1.1","352","-47","",NA,"",NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p111","SO.1.1","376","-123","",1,"",104,"FS","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p112","SO.1.1","320.2","-145.5","",1,"",103,"FS","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p113","SO.1.1","339.3","-140","",NA,"",NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p114","SO.1.1","364","-128","",1,"",106,"FS","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p115","SO.1.1","329","-157","",1,"",107,"FS","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p116","SO.1.1","372","-151","",NA,"",NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p117","SO.1.1","373","-155","",NA,"",NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p118","SO.1.1","334","-160.5","",1,"",108,"FS","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p119","SO.1.1","386","-198","",NA,"",NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p120","SO.1.1","388","-196","",1,"",110,"FS","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p121","SO.1.1","334","-169","",1,"",109,"FS","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p122","SO.1.2","924","-23","",NA,"",NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
"p123","SO.1.2","929","-23","",NA,"",NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",""
