"ID","Site","TR","QUAD","Geno","GLS","SLA","Obs","Stg","FLN","FRN","INH","PL1","PL2","Nec","TCO","LFN","DLN","AvgPCD","herbType","y","date","H","W","FRL","PC","FLA","notes","x.2","trip","genoSuspect"
"p1000","ARR","2",4,NA,NA,NA,"KM","SO",0,2,"10",NA,NA,NA,"1","8",0,0,"","50-19.5","7/9/24",131,9,NA,NA,NA,"","18.5",2,"ret"
"p1001","ARR","2",4,NA,NA,NA,"KM","SO",0,15,"55",NA,NA,NA,NA,"15",0,0,"","50-21","7/9/24",241,16,NA,NA,NA,"","24",2,"ret"
"p1002","ARR","2",4,NA,NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"13",0,0,"","13","7/9/24",15,15,NA,NA,NA,"nail 3cm S","23",2,"ret"
"p1003","ARR","2",4,NA,NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"12",1,5,"chew","16.5","7/9/24",20,17,NA,NA,NA,"","25.5",2,"ret"
"p1004","ARR","2",4,NA,NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"18",0,0,"","16","7/9/24",20,20,NA,NA,NA,"","22",2,"ret"
"p1005","ARR","2",4,NA,NA,NA,"KM","SO",0,2,"3",NA,NA,NA,"1","15",0,0,"","50-24","7/9/24",146,10,NA,NA,NA,"","29",2,"ret"
"p1006","ARR","2",4,NA,NA,NA,"KM","SO",0,5,"24",NA,NA,NA,NA,"12",0,0,"","50-27","7/9/24",179,9,NA,NA,NA,"pegnante fruit","14",2,"ret"
"p1007","ARR","2",4,NA,NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"9",0,0,"","15","7/9/24",15,25,NA,NA,NA,"","33",2,"ret"
"p1008","ARR","2",4,NA,NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"12",1,5,"chew","16","7/9/24",25,20,NA,NA,NA,"","34.5",2,"ret"
"p1009","ARR","2",4,NA,NA,NA,"KM","SO",0,6,"35",NA,NA,NA,NA,"15",0,0,"","50-19.5","7/9/24",194,11,NA,NA,NA,"","2",2,"ret"
"p101","SOV","1",1,"1",101,1,"KM","FS",9,5,"6.4",0.5,1,0,"1","84",13,75,"chewing","310","6/20/24",35.8,7.9,"2",1,1,"3 rosettes","0",1,"str"
"p1010","ARR","2",4,NA,NA,NA,"KM","SO",0,2,"18",NA,NA,NA,NA,"9",0,0,"","50-21.5","7/9/24",165,9,NA,NA,NA,"","1.5",2,"ret"
"p1011","ARR","2",4,NA,NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"4",0,0,"","15.5","7/9/24",11,8,NA,NA,NA,"BWR; nail 2cm S","42",2,"ret"
"p1012","ARR","2",4,NA,NA,NA,"MS","FS",5,7,"100",NA,NA,NA,NA,"15",0,0,"","14","7/9/24",267,10,NA,NA,NA,"pregnant frt","46",2,"ret"
"p1013","ARR","2",4,NA,NA,NA,"KM","SO",0,3,"21",NA,NA,NA,"1","11",0,0,"","50-28.5","7/9/24",181,9,NA,NA,NA,"pregnant frt","24.5",2,"ret"
"p1014","ARR","2",4,NA,NA,NA,"KM","R",0,0,"0",NA,NA,NA,NA,"11",0,0,"","50-27.5","7/9/24",22,14,NA,NA,NA,"","29.5",2,"ret"
"p1015","ARR","2",4,NA,NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"12",1,5,"chew","21.5","7/9/24",20,15,NA,NA,NA,"","38",2,"ret"
"p1016","ARR","2",5,NA,NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"11",1,5,"chew","12","7/9/24",25,14,NA,NA,NA,"","14",2,"ret"
"p1017","ARR","2",5,NA,NA,NA,"KM","R",0,0,"0",NA,NA,NA,NA,"15",1,10,"chew","50-3","7/9/24",23,22,NA,NA,NA,"BWR","22.5",2,"ret"
"p1018","ARR","2",5,NA,NA,NA,"MS","SO",0,11,"146",NA,NA,NA,NA,"24",0,0,"","15.5","7/9/24",309,9,NA,NA,NA,"1 fl gall; 3 FR gone","37",2,"ret"
"p1019","ARR","2",5,NA,NA,NA,"KM","FS",3,5,"61",NA,NA,NA,"1","9",3,10,"window","50","7/9/24",256,14,NA,NA,NA,"","50-12",2,"ret"
"p102","SOV","1",1,NA,NA,NA,"KM","X",NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","324","6/20/24",39.2,NA,"",NA,NA,"dead stalk","-17.7",1,"str"
"p1020","ARR","2",5,NA,NA,NA,"KM","R",0,0,"0",NA,NA,NA,NA,"13",2,10,"chew","50-16.5","7/9/24",24,22,NA,NA,NA,"","50-14",2,"ret"
"p1021","ARR","2",5,NA,NA,NA,"MS","FS",16,15,"55",NA,NA,NA,NA,"30",2,5,"chew","23","7/9/24",240,15,NA,NA,NA,"","35.5",2,"ret"
"p1022","ARR","2",5,NA,NA,NA,"KM","FS",3,9,"106",NA,NA,NA,NA,"16",1,20,"chew","50-9.5","7/9/24",330,11,NA,NA,NA,"nail outside of quad","0",2,"ret"
"p1023","ARR","2",5,NA,NA,NA,"KM","R",0,0,"0",NA,NA,NA,NA,"19",2,5,"chew","50-18.5","7/9/24",41,32,NA,NA,NA,"BWR","11.5",2,"ret"
"p1024","ARR","2",5,NA,NA,NA,"KM","R",0,0,"0",NA,NA,NA,NA,"18",3,5,"chew; window","50-22.5","7/9/24",45,28,NA,NA,NA,"BWR","8",2,"ret"
"p1025","ARR","2",5,NA,NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"10",4,5,"chew; window","1.5","7/9/24",20,15,NA,NA,NA,"","26",2,"ret"
"p1026","ARR","2",5,NA,NA,NA,"KM","R",0,0,"0",NA,NA,NA,NA,"14",0,0,"","50-22.5","7/9/24",36,28,NA,NA,NA,"BWR","2",2,"ret"
"p1027","TWM","2",1,NA,NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"14",0,0,"","2","7/10/24",26,20,NA,NA,NA,"","21",2,"hyb"
"p1028","TWM","2",1,"1",NA,NA,"MS","SO",0,8,"73",NA,NA,NA,NA,"31",0,0,"","5.5","7/10/24",400,25,NA,NA,NA,"aphids on FR","31",2,"hyb"
"p1029","TWM","2",1,NA,NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"6",0,0,"","4.5","7/10/24",27,15,NA,NA,NA,"","31",2,"hyb"
"p103","SOV","1",1,NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","370","6/20/24",3.9,4.1,"",NA,NA,"","-42",1,"str"
"p1031","TWM","2",1,"1",242,NA,"MS","SO",0,6,"73",NA,NA,NA,NA,"27",0,0,"","15.5","7/10/24",340,22,NA,NA,NA,"nail uprooted plant :(","25",2,"hyb"
"p1032","TWM","2",1,"1",NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"6",0,0,"","8.5","7/10/24",5,12,NA,NA,NA,"nail to E","35",2,"hyb"
"p1033","TWM","2",1,NA,NA,NA,"KM","SO",0,2,"6",NA,NA,NA,NA,"16",2,5,"window","50-6","7/10/24",177,14,NA,NA,NA,"dead stalk; nail to NW","4",2,"hyb"
"p1034","TWM","2",1,NA,243,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"12",0,0,"","16","7/10/24",25,30,NA,NA,NA,"nail to W","35",2,"hyb"
"p1035","TWM","2",1,NA,NA,NA,"KM","R",0,0,"0",NA,NA,NA,NA,"5",0,0,"","50-4.5","7/10/24",9,9,NA,NA,NA,"","21",2,"hyb"
"p1036","TWM","2",1,NA,NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"10",0,0,"","13","7/10/24",15,20,NA,NA,NA,"nail to E","48",2,"hyb"
"p1037","TWM","2",1,NA,NA,NA,"KM","R",0,0,"0",NA,NA,NA,NA,"6",0,0,"","50-11.5","7/10/24",7,9,NA,NA,NA,"","50-20.5",2,"hyb"
"p1038","TWM","2",1,NA,NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"10",1,5,"chew","20","7/10/24",24,19,NA,NA,NA,"nail to E","44",2,"hyb"
"p1039","TWM","2",1,NA,244,NA,"KM","FS",4,7,"104",NA,NA,NA,NA,"20",0,0,"","50-1","7/10/24",394,24,NA,NA,NA,"1 ft gal; green aphids; pregante FR","50-2",2,"hyb"
"p104","SOV","1",1,NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"5",0,0,"","360","6/20/24",0.9,0.7,"",NA,NA,"surrounded by 4 other rosets","-49",1,"str"
"p1040","TWM","2",1,NA,NA,NA,"MS","R",0,0,"0",NA,NA,NA,NA,"10",0,0,"","24","7/10/24",25,30,NA,NA,NA,"","32",2,"hyb"
