"ID","Site","TR","QUAD","Geno","GLS","SLA","Obs","Stg","FLN","FRN","INH","PL1","PL2","Nec","TCO","LFN","DLN","AvgPCD","herbType","y","date","H","W","FRL","PC","FLA","notes","x.2","trip","genoSuspect"
"p1000","ARR","2","4",NA,NA,"","KM","SO",0,2,"10","","","","1","8",0,0,"","50-19.5","7/9/24",131,9,NA,"","","","18.5",2,"ret"
"p1001","ARR","2","4",NA,NA,"","KM","SO",0,15,"55","","","",NA,"15",0,0,"","50-21","7/9/24",241,16,NA,"","","","24",2,"ret"
"p1002","ARR","2","4",NA,NA,"","MS","R",0,0,"0","","","",NA,"13",0,0,"","13","7/9/24",15,15,NA,"","","nail 3cm S","23",2,"ret"
"p1003","ARR","2","4",NA,NA,"","MS","R",0,0,"0","","","",NA,"12",1,5,"chew","16.5","7/9/24",20,17,NA,"","","","25.5",2,"ret"
"p1004","ARR","2","4",NA,NA,"","MS","R",0,0,"0","","","",NA,"18",0,0,"","16","7/9/24",20,20,NA,"","","","22",2,"ret"
"p1005","ARR","2","4",NA,NA,"","KM","SO",0,2,"3","","","","1","15",0,0,"","50-24","7/9/24",146,10,NA,"","","","29",2,"ret"
"p1006","ARR","2","4",NA,NA,"","KM","SO",0,5,"24","","","",NA,"12",0,0,"","50-27","7/9/24",179,9,NA,"","","pegnante fruit","14",2,"ret"
"p1007","ARR","2","4",NA,NA,"","MS","R",0,0,"0","","","",NA,"9",0,0,"","15","7/9/24",15,25,NA,"","","","33",2,"ret"
"p1008","ARR","2","4",NA,NA,"","MS","R",0,0,"0","","","",NA,"12",1,5,"chew","16","7/9/24",25,20,NA,"","","","34.5",2,"ret"
"p1009","ARR","2","4",NA,NA,"","KM","SO",0,6,"35","","","",NA,"15",0,0,"","50-19.5","7/9/24",194,11,NA,"","","","2",2,"ret"
"p101","SOV","1","1","1",101,"1","KM","FS",9,5,"6.4","0.5","1","0","1","84",13,75,"chewing","310","6/20/24",35.8,7.9,"2","1","1","3 rosettes","0",1,"str"
"p1010","ARR","2","4",NA,NA,"","KM","SO",0,2,"18","","","",NA,"9",0,0,"","50-21.5","7/9/24",165,9,NA,"","","","1.5",2,"ret"
"p1011","ARR","2","4",NA,NA,"","MS","R",0,0,"0","","","",NA,"4",0,0,"","15.5","7/9/24",11,8,NA,"","","BWR; nail 2cm S","42",2,"ret"
"p1012","ARR","2","4",NA,NA,"","MS","FS",5,7,"100","","","",NA,"15",0,0,"","14","7/9/24",267,10,NA,"","","pregnant frt","46",2,"ret"
"p1013","ARR","2","4",NA,NA,"","KM","SO",0,3,"21","","","","1","11",0,0,"","50-28.5","7/9/24",181,9,NA,"","","pregnant frt","24.5",2,"ret"
"p1014","ARR","2","4",NA,NA,"","KM","R",0,0,"0","","","",NA,"11",0,0,"","50-27.5","7/9/24",22,14,NA,"","","","29.5",2,"ret"
"p1015","ARR","2","4",NA,NA,"","MS","R",0,0,"0","","","",NA,"12",1,5,"chew","21.5","7/9/24",20,15,NA,"","","","38",2,"ret"
"p1016","ARR","2","5",NA,NA,"","MS","R",0,0,"0","","","",NA,"11",1,5,"chew","12","7/9/24",25,14,NA,"","","","14",2,"ret"
"p1017","ARR","2","5",NA,NA,"","KM","R",0,0,"0","","","",NA,"15",1,10,"chew","50-3","7/9/24",23,22,NA,"","","BWR","22.5",2,"ret"
"p1018","ARR","2","5",NA,NA,"","MS","SO",0,11,"146","","","",NA,"24",0,0,"","15.5","7/9/24",309,9,NA,"","","1 fl gall; 3 FR gone","37",2,"ret"
"p1019","ARR","2","5",NA,NA,"","KM","FS",3,5,"61","","","","1","9",3,10,"window","50","7/9/24",256,14,NA,"","","","50-12",2,"ret"
